state_rate_area,plan_id,state,metal_level,rate,rate_area
IL 7,06044SE7314141,IL,Bronze,175.59,7
FL 1,34926IE3412997,FL,Platinum,417.04,1
FL 50,51027OY4244569,FL,Silver,308.61,50
GA 1,50660KV6559607,GA,Catastrophic,250.12,1
OK 3,96736EA4261036,OK,Gold,308.82,3
FL 51,43518UQ4047409,FL,Bronze,313.9,51
SC 32,98985QY0824753,SC,Silver,274.98,32
LA 3,37458UV3249449,LA,Gold,342.82,3
FL 11,92765TU8433188,FL,Gold,385.88,11
KS 7,61298IW2978300,KS,Gold,264.37,7
NC 2,10987NG8770826,NC,Gold,457.92,2
ME 1,52643TK3267610,ME,Silver,305.27,1
SC 29,36907GY6485435,SC,Silver,477.6,29
LA 5,70207JB5372070,LA,Bronze,280.15,5
WY 3,71384WS6408654,WY,Catastrophic,345.76,3
NC 11,97462JJ5614906,NC,Gold,320,11
OH 6,21871SI8945723,OH,Silver,248.54,6
OH 17,64804IQ1925529,OH,Bronze,338.35,17
FL 48,43245NK9270776,FL,Gold,384.91,48
SC 35,97703RF9206476,SC,Silver,321.75,35
MI 13,55888UH4930997,MI,Gold,413.65,13
LA 3,69337GH9853353,LA,Catastrophic,181.4,3
TX 15,53133OW1257307,TX,Bronze,307.7,15
SC 10,47462VL7643427,SC,Silver,243.26,10
OH 5,22014XB6585503,OH,Bronze,276.19,5
FL 34,04831VO7684335,FL,Silver,280.92,34
FL 8,24554ZV6010908,FL,Platinum,479.19,8
WI 15,31213DW9259864,WI,Gold,484.1,15
IN 4,00339SH2887507,IN,Bronze,279.19,4
OR 6,67580GC1617927,OR,Bronze,243,6
IN 13,70464DX0133492,IN,Silver,329.61,13
TX 26,87863WM2369702,TX,Bronze,210.14,26
WI 9,95840GE3920399,WI,Gold,516.31,9
SC 33,88227HJ9250232,SC,Silver,408.87,33
SC 44,96236FO9029191,SC,Silver,289.35,44
AR 1,76273EP2432681,AR,Silver,342.06,1
OH 15,11161MC1864294,OH,Silver,349.47,15
NM 2,29786ED3355144,NM,Bronze,198.63,2
OH 16,18828HT5887239,OH,Silver,344.4,16
FL 2,97639ND1636437,FL,Silver,366.01,2
FL 25,31121NM7178710,FL,Silver,380.19,25
FL 5,60108JF1293814,FL,Platinum,383.81,5
WI 9,27483FQ8787956,WI,Bronze,249.74,9
GA 5,99680DY2838499,GA,Silver,301.62,5
PA 5,51884XW0742974,PA,Gold,362.92,5
WI 1,02819MH8998618,WI,Bronze,312.32,1
OK 4,04208IK6881094,OK,Bronze,209.39,4
TX 11,01726MB7774039,TX,Gold,350.6,11
IL 7,59377JX5943803,IL,Gold,348.49,7
SC 34,80186SW0826979,SC,Silver,314.51,34
FL 48,83499UF2788548,FL,Bronze,239.46,48
FL 3,77912AN5885239,FL,Bronze,292.95,3
WI 5,19351BV8455026,WI,Silver,370.02,5
AZ 3,17021NE3572940,AZ,Bronze,353.7,3
OH 15,34640OT8967446,OH,Silver,254.44,15
OR 7,26024QR4170457,OR,Silver,293,7
PA 4,26123PM7626914,PA,Silver,174.87,4
AZ 3,85289EK2404732,AZ,Catastrophic,215.7,3
GA 3,47226UM6024504,GA,Gold,289.15,3
PA 8,07950OB9784266,PA,Bronze,267.02,8
SC 18,63742DH3059514,SC,Silver,317.33,18
SC 17,89317EP1584597,SC,Silver,311.42,17
PA 3,35867XN7286040,PA,Silver,256.38,3
SC 32,19384KP0533884,SC,Silver,301.55,32
FL 34,58241BL4041709,FL,Bronze,267.72,34
MI 4,95931KT0329229,MI,Gold,339.18,4
FL 20,96498TE5562176,FL,Platinum,438.68,20
FL 5,09450MA9272271,FL,Gold,439.13,5
OR 1,99439BJ2872184,OR,Silver,299,1
FL 52,44922WG5297662,FL,Bronze,255.16,52
FL 7,11855OX5398025,FL,Catastrophic,227.74,7
PA 2,40582CN2619622,PA,Silver,196.08,2
UT 4,10665XA3690423,UT,Silver,242.74,4
IL 9,12563HQ9392357,IL,Bronze,246.99,9
IL 5,55881PK3277290,IL,Silver,239.83,5
WI 14,74551KY0353435,WI,Catastrophic,201.4,14
FL 16,12128CA7029114,FL,Silver,364.35,16
FL 3,03174RO0308512,FL,Bronze,291.34,3
MI 7,54147PX5792984,MI,Gold,366.72,7
UT 4,19908ZG4263049,UT,Silver,244.81,4
NV 1,05938CG3043338,NV,Gold,278.96,1
NM 1,50513PT5225194,NM,Gold,290.14,1
SC 4,90033SH1792949,SC,Bronze,210.54,4
WI 14,00881MD5994724,WI,Bronze,300.96,14
SC 18,68540QP3035382,SC,Silver,291.75,18
OH 4,71094JB3202172,OH,Silver,268.75,4
AL 2,53153DT4217449,AL,Gold,357.38,2
AZ 6,86810BX7219698,AZ,Gold,262.27,6
TX 19,16038UF9531618,TX,Gold,301.42,19
FL 21,89309WI3956095,FL,Gold,377.05,21
GA 13,59014FH6115071,GA,Silver,272.99,13
OH 4,08659GY6546843,OH,Silver,241.81,4
FL 5,62367HH9021518,FL,Platinum,459.39,5
SC 1,42738ZF5451860,SC,Silver,283.6,1
FL 36,57121ZR6503117,FL,Gold,399.62,36
UT 5,57420CI1947628,UT,Silver,238.34,5
SC 9,97714CM1644624,SC,Silver,296.1,9
OR 6,41823SG1973448,OR,Bronze,229.1,6
SD 4,95482MW9787969,SD,Gold,366.72,4
AZ 5,09930BD0568978,AZ,Gold,298.43,5
FL 27,30562SQ9407430,FL,Catastrophic,241.44,27
LA 3,39257HO7799634,LA,Silver,335.32,3
MI 8,96362ZH4830129,MI,Silver,329.95,8
IN 10,05518YV5544525,IN,Silver,342.09,10
FL 53,03147JK0719731,FL,Gold,352.95,53
WI 10,75926PI4844227,WI,Bronze,276.14,10
LA 8,57957DM4208068,LA,Silver,385.35,8
IN 4,64994VL6601091,IN,Bronze,224.88,4
OH 1,06110SR9689881,OH,Bronze,193.46,1
NC 11,55271RT5559598,NC,Gold,344.39,11
FL 30,67938RK0802630,FL,Silver,304.81,30
SC 9,80158MG7193992,SC,Bronze,173.69,9
MI 12,01009VX9136069,MI,Gold,331.01,12
WI 16,54443OL4354232,WI,Gold,378.51,16
FL 43,82146WQ3567735,FL,Bronze,341.55,43
AZ 6,84564BU3395091,AZ,Gold,241.53,6
OH 3,07889ER9201272,OH,Silver,303.32,3
OR 1,50845TG8054455,OR,Bronze,178,1
GA 8,41305QX2312837,GA,Silver,330.56,8
FL 10,36580JX6064512,FL,Silver,294.87,10
SC 46,85578MC6139541,SC,Bronze,267.84,46
OR 7,99879OB8462547,OR,Silver,226,7
MI 4,10230YE1775242,MI,Bronze,254.42,4
IN 14,36995IO0390169,IN,Bronze,359.91,14
NV 1,48471HC4153936,NV,Gold,301.2172909,1
VA 7,50776JM1547756,VA,Gold,309.3,7
IN 7,91500OX7533304,IN,Bronze,465.33,7
NC 3,28993BM5499682,NC,Silver,372.17,3
TX 14,64291ZF4720887,TX,Gold,325.69,14
MI 14,30556NN8314092,MI,Silver,248.32,14
AZ 1,54102FN5825350,AZ,Catastrophic,213.36,1
SC 26,09748CV8985328,SC,Silver,287.18,26
NC 4,84012QQ6406978,NC,Silver,460.68,4
IL 11,37205JU0306317,IL,Bronze,216.9,11
AZ 6,09627JR9522733,AZ,Gold,243.74,6
SC 24,86476RJ0028096,SC,Silver,456.45,24
MI 10,73087OM5786228,MI,Gold,403.93,10
WI 4,24036LW3587834,WI,Gold,459.72,4
FL 6,11882EY2927202,FL,Bronze,325.17,6
IL 8,93292FL6747442,IL,Bronze,237.66,8
TN 1,37457NU6283286,TN,Bronze,200.61,1
VA 11,23631MA3583534,VA,Bronze,212.75,11
WI 2,21603YN1157641,WI,Bronze,305.13,2
FL 34,78814IW4465417,FL,Platinum,475.98,34
SC 30,68270LS2622619,SC,Silver,296.26,30
TX 11,59129JE3051204,TX,Silver,334.38,11
WI 11,85528AJ6661778,WI,Catastrophic,232.01,11
SC 10,36834QN9887238,SC,Gold,330.28,10
IA 5,80937NO5343323,IA,Bronze,217.79,5
SC 6,87842MY9379806,SC,Bronze,287.24,6
FL 64,13820JN8192370,FL,Platinum,377.94,64
KS 1,99873NU4621955,KS,Silver,190.43,1
UT 3,61921PC3598096,UT,Gold,284.49,3
SC 3,84015ZO6093019,SC,Silver,301.75,3
SC 36,50950NS0166615,SC,Silver,284.62,36
IN 13,58119OD8933631,IN,Silver,364.79,13
OH 15,99569YU6928970,OH,Gold,455.56,15
SC 40,60932GX3916607,SC,Silver,314.24,40
OH 16,88430OG1130366,OH,Silver,337.09,16
FL 15,25581PW0616215,FL,Platinum,419.23,15
MI 1,27775JQ0142961,MI,Gold,347.21,1
PA 8,77903HC9734396,PA,Silver,363.25884,8
MI 9,34138FV9673475,MI,Bronze,263.04,9
FL 4,47114LI9622150,FL,Bronze,296.25,4
FL 58,37461ON0313388,FL,Silver,346.97,58
OK 3,14885IE8154950,OK,Catastrophic,155.14,3
PA 5,96973EQ9972959,PA,Platinum,332.03,5
KS 5,66633BX9621780,KS,Catastrophic,158.04,5
MI 9,08046NX1304390,MI,Gold,466.35,9
NE 3,26372VO6393287,NE,Silver,350.86,3
WI 4,56515KG7226110,WI,Silver,337.57,4
IL 6,68424RV4900366,IL,Gold,370.8,6
SC 44,33192UI8652908,SC,Silver,284.5,44
KS 5,52027LU2765019,KS,Bronze,183.16,5
FL 65,21686JK5645164,FL,Bronze,283.12,65
NM 3,56065OO0740134,NM,Silver,220.17,3
TX 19,77760VX5979322,TX,Gold,288.15,19
IN 10,53304TN9793960,IN,Bronze,244.5,10
TX 1,59871LE2966818,TX,Silver,407.18,1
OH 8,02832RK2067089,OH,Bronze,239.7,8
OK 2,69589VW8901050,OK,Catastrophic,179.76,2
WI 15,23018XQ8604367,WI,Silver,326.7,15
OH 6,52294NP6575491,OH,Catastrophic,154.7,6
PA 6,47366IN5489026,PA,Silver,219.14,6
OH 1,37890WT1024474,OH,Silver,235.06,1
OR 2,75114JW8806425,OR,Gold,268,2
IL 8,67411GT1601162,IL,Catastrophic,217.12,8
SC 9,01995OF5564847,SC,Gold,334.93,9
AZ 4,27397MJ5617089,AZ,Silver,341.19,4
IL 12,58242JU3055897,IL,Silver,248.34,12
FL 4,48698YT7335405,FL,Platinum,427.93,4
IN 7,46726LK7829190,IN,Bronze,282.18,7
TX 3,67206ZS8720903,TX,Silver,274.06,3
TX 26,60893VY7160888,TX,Bronze,211.42,26
IN 3,99721KJ4084181,IN,Catastrophic,215.25,3
IL 6,58773IX2064712,IL,Silver,317.83,6
VA 5,89109UD4746956,VA,Catastrophic,177.27,5
FL 31,18159RF1695511,FL,Silver,317.02,31
OH 10,34875FO4784451,OH,Gold,360.68,10
SC 23,87534VQ5002278,SC,Bronze,249.43,23
SC 17,73156VR8093159,SC,Bronze,268.96,17
TX 14,45737VA0742925,TX,Silver,316.3,14
TN 6,95087OR6369283,TN,Silver,241.1,6
SC 33,08558VL6490995,SC,Gold,357.22,33
PA 7,82199SO5677677,PA,Gold,317,7
GA 6,77215MO4993616,GA,Silver,357.53,6
IL 12,30614TV6901790,IL,Bronze,179.76,12
FL 17,79354UH7538353,FL,Bronze,280.85,17
MO 6,89379BJ2698184,MO,Gold,326.14,6
WI 11,71685BQ4977053,WI,Catastrophic,192.43,11
SC 34,91168CL4980135,SC,Silver,494.25,34
FL 2,62375KI8035005,FL,Gold,463.24,2
WI 7,62363CO5211112,WI,Bronze,255.84,7
OH 7,61895MO1983364,OH,Silver,380.12,7
TX 16,67150WO6931708,TX,Silver,256.5,16
WI 16,38809VV8849339,WI,Bronze,297.12,16
SC 24,12561QI1263911,SC,Bronze,329.53,24
FL 46,34671IE1437744,FL,Bronze,295.49,46
IN 13,83290PG3226693,IN,Silver,484.32,13
MS 3,25360TY1531879,MS,Bronze,251.21,3
UT 2,17384SP0164944,UT,Bronze,215.63,2
SC 20,79356LD7511206,SC,Silver,282.15,20
WI 1,90356PT5569595,WI,Catastrophic,250.48,1
IL 1,64832TG6287386,IL,Gold,368.58,1
SC 8,13386ZC7761797,SC,Bronze,247.74,8
FL 5,09108UP5236505,FL,Gold,364.67,5
IL 11,21406IE6641321,IL,Gold,298.3,11
FL 50,25457XO3789453,FL,Bronze,379.65,50
FL 47,46537TQ1816127,FL,Platinum,550.11,47
IN 5,02495BI3695717,IN,Silver,309.49,5
NC 2,13484DG4012511,NC,Bronze,282.39,2
FL 43,96369RP2714199,FL,Gold,475.12,43
LA 3,19865XR7557078,LA,Platinum,448.35,3
SC 37,87138RI5923621,SC,Bronze,273.81,37
FL 50,56844TY0435030,FL,Silver,319.35,50
FL 46,61370JR8501271,FL,Bronze,314.06,46
WI 16,24680TU2977884,WI,Silver,267.54,16
FL 50,40441HH0885328,FL,Bronze,250.31,50
SC 37,09975HR9908199,SC,Silver,310.35,37
IA 5,52439FG0936920,IA,Bronze,189.56,5
SC 15,02189RQ5094292,SC,Silver,240.59,15
TX 15,27573KQ7405569,TX,Bronze,164.94,15
SC 43,68955NC0061197,SC,Bronze,280.36,43
AK 3,90890EW9472063,AK,Silver,597,3
IL 5,43259JY8224291,IL,Gold,374.71,5
NH 1,62237CJ8820635,NH,Bronze,222.85,1
MO 5,92264NN0096790,MO,Silver,361.15,5
TN 2,62032UH2575052,TN,Silver,276.05,2
SC 46,18286SL5198003,SC,Gold,360.38,46
MS 3,90721QV8914620,MS,Gold,341.93,3
OH 10,11313FV2744224,OH,Silver,291.61,10
FL 42,96357GX0372108,FL,Silver,394.62,42
SC 46,40367QX7050502,SC,Catastrophic,195.34,46
WI 11,03388TX8996120,WI,Silver,330.08,11
IN 4,16358YM2907195,IN,Bronze,224.19,4
FL 13,28995BA2276010,FL,Bronze,252.7,13
FL 36,66233UW4959027,FL,Gold,335.73,36
AZ 5,63797XJ5121406,AZ,Gold,311.74,5
GA 3,47213XR5169701,GA,Silver,308.32,3
IA 4,97588IW8229199,IA,Gold,241.86,4
WY 2,64888QR9646147,WY,Gold,484,2
AR 4,03391RI6333344,AR,Gold,320.39,4
WI 5,37070XN1832192,WI,Silver,302.45,5
MO 5,42632GP1338806,MO,Silver,325.71,5
MS 3,40054EV6949735,MS,Gold,379.01,3
MI 11,98975QL1862984,MI,Gold,415.03,11
FL 7,30221GV8987316,FL,Silver,377.9,7
WI 2,35200AO0775394,WI,Bronze,234.79,2
PA 5,72589VE4778151,PA,Gold,261.47,5
SC 22,67221IY3976962,SC,Silver,250.64,22
SC 1,89017TI4653426,SC,Gold,344.69,1
NV 2,81247TQ6529690,NV,Bronze,280.25,2
OH 2,13414II8879783,OH,Bronze,274.01,2
OK 5,82072ZZ2270859,OK,Gold,375.16,5
IN 15,79236DW7528882,IN,Gold,414.72,15
FL 5,43255FQ3482976,FL,Silver,323.77,5
WI 6,91310ZQ6518685,WI,Catastrophic,319.89,6
TX 2,12069QG1414444,TX,Bronze,195.55,2
ND 1,76348FE2648004,ND,Bronze,283.02,1
VA 5,96434JE6953739,VA,Bronze,245.19,5
FL 64,55312ZM7807816,FL,Bronze,280.59,64
DE 1,59253WR5816572,DE,Bronze,259.03,1
PA 4,12066MQ2139478,PA,Gold,319.2,4
MI 5,88742PI4516189,MI,Bronze,220.28,5
NC 3,14960JW1815295,NC,Silver,339.09,3
IN 9,94555CH4518931,IN,Bronze,277.61,9
MS 6,38902XV1585280,MS,Bronze,255.16,6
SC 43,52711IC5766149,SC,Silver,321.36,43
VA 10,28753DU4121921,VA,Bronze,211.85,10
FL 6,36539SL0129429,FL,Silver,394.62,6
GA 10,70914AN5022068,GA,Bronze,236.56,10
OH 2,24882JM9980118,OH,Silver,284.91,2
VA 9,09026KY4708180,VA,Gold,371.02,9
FL 48,22128EC9048990,FL,Platinum,375.87,48
WI 6,87983SO5633186,WI,Silver,495.53,6
MI 3,24007CT6496792,MI,Silver,322.63,3
AL 2,69867KN9409819,AL,Gold,338.69,2
FL 29,88617BZ6394609,FL,Gold,385.89,29
FL 43,10104CN7536981,FL,Bronze,400.41,43
FL 17,81871CC2498907,FL,Bronze,226,17
MI 1,04089FQ0511115,MI,Gold,399.88,1
OH 1,66052KO3922268,OH,Bronze,186.29,1
MI 5,83504GU5812189,MI,Silver,312.79,5
OH 11,96410VW6342701,OH,Silver,249.72,11
OR 1,04805MY6732880,OR,Catastrophic,233.47,1
GA 13,90535JR6614962,GA,Gold,404.86,13
AZ 4,45994KV8836393,AZ,Gold,319.73,4
SC 21,23107MQ2971140,SC,Silver,304.53,21
TX 17,33021HF7327978,TX,Gold,275.67,17
SC 38,91781BW9223571,SC,Silver,242.05,38
NC 10,72903VO6081416,NC,Bronze,301.11,10
OR 7,20038KL7209843,OR,Bronze,218.26,7
TN 2,05606OP3903534,TN,Gold,271.28,2
AZ 2,64875VB5128196,AZ,Silver,416.99,2
OH 6,91167QG9867207,OH,Silver,339.49,6
MI 5,53074DQ0506080,MI,Silver,283.12,5
GA 16,41764JT8467444,GA,Silver,321.12,16
SC 6,60232RD8567264,SC,Gold,384.69,6
TX 1,84301EB8885720,TX,Gold,419.62,1
FL 57,01377WP1480235,FL,Bronze,295.28,57
SC 22,73086DK6040384,SC,Gold,352.33,22
MO 3,99471AK3918170,MO,Gold,298.24,3
OH 2,40573KQ4692302,OH,Silver,356.83,2
AL 9,96306GA9545500,AL,Gold,363.8,9
FL 49,37851NS5708105,FL,Bronze,238.3,49
FL 36,69777YF8320079,FL,Gold,420.31,36
IN 4,85832CA1307132,IN,Silver,308.68,4
UT 6,00638JH7959291,UT,Gold,323.51,6
SC 24,43433SM7206291,SC,Silver,336.19,24
AZ 7,46568XD1237028,AZ,Silver,343.92,7
OH 11,02462LL7728047,OH,Silver,337.09,11
NC 14,78357RF4556661,NC,Bronze,293.55,14
FL 64,71530HF0312320,FL,Silver,332.14,64
WI 8,78699SI2540397,WI,Platinum,647.82,8
WI 15,28341FR8516247,WI,Silver,410.74,15
SC 10,76951MC8026262,SC,Silver,288.75,10
GA 14,57556TB0546164,GA,Silver,232.37,14
FL 60,36912BP2502100,FL,Catastrophic,269.39,60
NC 10,77554EP3991283,NC,Catastrophic,223.93,10
IN 15,82502GU8698364,IN,Bronze,307.89,15
NV 1,73208PV1697647,NV,Gold,281.81,1
IL 1,45979GF0736428,IL,Catastrophic,236.2,1
FL 6,77361SW2442276,FL,Silver,234.75,6
SC 43,05478ES5997548,SC,Bronze,282.07,43
PA 6,55689GR7580728,PA,Bronze,170.47,6
MS 4,97742GF4002556,MS,Bronze,304.51,4
WI 4,90632UP6465707,WI,Gold,461.66,4
OH 7,39900GL5017446,OH,Silver,432.06,7
TN 3,07800UW7737957,TN,Bronze,207.2,3
MT 2,01506TO5336628,MT,Catastrophic,193,2
IA 5,61346IW5971729,IA,Silver,335.56,5
IL 12,69418OJ6703792,IL,Silver,375.38,12
NE 4,63772DB9966944,NE,Bronze,268.62,4
FL 23,78084MD5192821,FL,Platinum,454.99,23
WI 1,52710JK6790723,WI,Silver,365.08,1
MI 2,78457CW3250692,MI,Gold,307.03,2
SC 44,87533PT0881950,SC,Gold,567.95,44
NC 6,04975GA0504666,NC,Silver,363.1,6
FL 48,10026AD2448815,FL,Gold,322.93,48
FL 48,30649BS7081557,FL,Gold,339.88,48
NV 4,01401TE1074176,NV,Silver,246.6577161,4
IL 1,60642RQ1020714,IL,Catastrophic,154.6,1
FL 5,26438RP3629485,FL,Platinum,507.68,5
MO 3,78421VV7272023,MO,Silver,290.05,3
OR 2,87816RR7421777,OR,Silver,235,2
MT 1,59194IR7051771,MT,Catastrophic,173.53,1
OR 4,03964KL7533049,OR,Silver,239.36,4
FL 52,57570LV1557884,FL,Silver,313.79,52
OK 1,44045VM7144448,OK,Silver,248.69,1
IN 1,46833WJ7957267,IN,Gold,374.49,1
AZ 5,90097QY1264449,AZ,Bronze,248.19,5
SC 21,72426MO7673437,SC,Bronze,414.99,21
SC 39,19074OM0818705,SC,Gold,363.88,39
SC 2,48080EY8688216,SC,Silver,312.12,2
GA 3,96598MW4967821,GA,Gold,357.68,3
WI 7,86529OF4226996,WI,Silver,313.13,7
TX 26,53636XP0392084,TX,Silver,315.33,26
FL 48,63052ZD4355935,FL,Platinum,424.53,48
FL 10,10543NI8654650,FL,Gold,448.4,10
FL 51,93259KE6714707,FL,Silver,362.58,51
SC 40,20232VI2844656,SC,Silver,274.98,40
MI 6,11517EX4420267,MI,Gold,352.51,6
SC 31,76159TK8604289,SC,Gold,351.21,31
MI 1,83094CD6354554,MI,Silver,228.38,1
MI 4,82642YL8484677,MI,Silver,332.47,4
TN 4,56244WT8535580,TN,Silver,306.89,4
OK 4,91105JU7955281,OK,Gold,255.84,4
FL 51,04317RB4121849,FL,Bronze,255.88,51
FL 43,01703PV3077507,FL,Bronze,231.2,43
FL 30,72297FF0266191,FL,Silver,320.94,30
GA 1,30518XV2498930,GA,Silver,363.61,1
OH 6,52377JB6072310,OH,Silver,323.25,6
SC 15,66025FY9680415,SC,Silver,309.05,15
SC 4,15244SS8370553,SC,Platinum,649.08,4
MI 1,30105LG7119034,MI,Gold,411.99,1
NM 1,43709LR2402113,NM,Gold,244.26,1
VA 1,34314JY5763641,VA,Bronze,282.65,1
WI 11,56328ZZ3578693,WI,Platinum,396,11
MO 10,21216PO0115001,MO,Silver,419.47,10
LA 6,36982ZW2914787,LA,Platinum,461.23,6
MI 1,76231YV0159131,MI,Gold,389.13,1
FL 5,45287JN0875080,FL,Silver,340.66,5
AZ 2,36718ON3627854,AZ,Bronze,337.88,2
SC 30,45762OV3415347,SC,Gold,343.62,30
IN 16,80650QH0729942,IN,Bronze,180.43,16
UT 2,32246EG7308494,UT,Bronze,199.64,2
SC 42,14314HX1355525,SC,Gold,330.31,42
SC 22,24637QA1600740,SC,Bronze,263.64,22
FL 67,23173TM4588374,FL,Silver,364.04,67
MI 2,68114QX7458598,MI,Gold,299.59,2
GA 5,66726YZ1057831,GA,Bronze,332.53,5
FL 17,70126ZA0180302,FL,Silver,294.44,17
OH 1,66410MX4088906,OH,Silver,242.31,1
AZ 2,88529OU6950458,AZ,Gold,366.64,2
MI 3,23084ZX9329050,MI,Silver,287.38,3
PA 9,36109JE6267543,PA,Silver,335.53,9
OH 13,96258UC3541190,OH,Silver,313.37,13
SC 37,62292YM3443855,SC,Platinum,649.08,37
WI 1,72719YH0946887,WI,Gold,500.95,1
NH 1,06794DX7259733,NH,Bronze,255.25,1
TX 3,99876VP2447177,TX,Silver,332.29,3
WY 2,78316YU0504711,WY,Silver,413.3,2
TX 25,05544DR2558825,TX,Silver,334.91,25
IN 11,87185NC8952671,IN,Bronze,295.91,11
FL 3,58990ER8374115,FL,Silver,267.27,3
IN 11,94212IN7174824,IN,Bronze,303.96,11
FL 8,51507MU6152355,FL,Gold,362.14,8
FL 16,27258IZ6664261,FL,Gold,372.26,16
OH 15,04040YO9530269,OH,Gold,332.63,15
TX 8,99010IZ9496925,TX,Bronze,402.68,8
SC 15,54106SW8051762,SC,Catastrophic,158.12,15
WI 8,17023PL8493107,WI,Bronze,318.58,8
FL 57,15452UE7026796,FL,Platinum,374.85,57
PA 6,71025IZ4315251,PA,Silver,324.96,6
FL 39,12074KW5301412,FL,Platinum,440.14,39
IN 12,52468XL3399844,IN,Bronze,275.95,12
FL 6,48983KJ6803413,FL,Gold,563.41,6
UT 3,26491TG8335322,UT,Catastrophic,218.9,3
IL 1,44116TP9569750,IL,Gold,295.39,1
MI 6,92862ZB7649650,MI,Silver,270.83,6
ND 4,22182GL7685280,ND,Silver,326.65,4
OH 5,44095HX7023317,OH,Silver,299.14,5
FL 5,27923XR9858766,FL,Silver,342.81,5
GA 9,91757XT0223501,GA,Bronze,236,9
UT 6,68753PR1953211,UT,Silver,281.78,6
OH 15,66063KD9451934,OH,Bronze,311.6,15
KS 3,64133XR7352184,KS,Gold,293.53,3
NC 3,03151SL0388351,NC,Gold,450.83,3
IL 5,83210QY4958686,IL,Gold,388.02,5
FL 50,73442WY2126329,FL,Silver,337.61,50
FL 26,55271JO3794055,FL,Gold,393.59,26
GA 8,72069OS4081924,GA,Bronze,237.23,8
SC 43,63622EC1602336,SC,Gold,606.32,43
IN 6,57561HU8650100,IN,Bronze,252.99,6
SC 23,14438PD6250442,SC,Bronze,250.8,23
SC 1,66054MJ7535867,SC,Silver,296.18,1
FL 39,84804MD3496878,FL,Bronze,273.5,39
KS 2,06751ML5276933,KS,Gold,265.42,2
IN 10,06982FU7402229,IN,Bronze,284.56,10
OH 14,97288HF1388565,OH,Bronze,254.93,14
SC 34,05909SM7051902,SC,Bronze,268.96,34
OR 6,62414XU4748893,OR,Bronze,221,6
